117046	6244	you almost forget the sheer
117047	6244	almost forget the sheer
117048	6244	forget the sheer
117049	6244	the sheer
117050	6244	ponderous awfulness of its script .
117051	6244	ponderous awfulness of its script
117052	6244	awfulness of its script
117053	6244	of its script
117054	6245	My Wife 's plotting is nothing special ; it 's the delivery that matters here .
117055	6245	My Wife 's plotting is nothing special ; it 's the delivery that matters here
117056	6245	My Wife 's plotting is nothing special ;
117057	6245	My Wife 's plotting is nothing special
117058	6245	My Wife 's plotting
117059	6245	My Wife 's
117060	6245	Wife 's
117061	6245	is nothing special
117062	6245	nothing special
117063	6245	it 's the delivery that matters here
117064	6245	's the delivery that matters here
117065	6245	the delivery that matters here
117066	6245	that matters here
117067	6245	matters here
117068	6246	Likely to have decades of life as a classic movie franchise ?
117069	6246	Likely to have decades of life as a classic movie franchise
117070	6246	to have decades of life as a classic movie franchise
117071	6246	have decades of life as a classic movie franchise
117072	6246	have decades of life
117073	6246	decades of life
117074	6246	as a classic movie franchise
117075	6246	a classic movie franchise
117076	6246	classic movie franchise
117077	6247	Although shot with little style , Skins is heartfelt and achingly real .
117078	6247	Although shot with little style
117079	6247	shot with little style
117080	6247	with little style
117081	6247	little style
117082	6247	, Skins is heartfelt and achingly real .
117083	6247	Skins is heartfelt and achingly real .
117084	6247	is heartfelt and achingly real .
117085	6247	is heartfelt and achingly real
117086	6247	heartfelt and achingly real
117087	6247	heartfelt and
117088	6247	achingly real
117089	6248	Few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as Nesbitt 's Cooper looks when the bullets stop flying .
117090	6248	Few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as Nesbitt 's Cooper looks when the bullets stop flying
117091	6248	Few films have captured the chaos of an urban conflagration with such fury , and
117092	6248	Few films have captured the chaos of an urban conflagration with such fury ,
117093	6248	Few films have captured the chaos of an urban conflagration with such fury
117094	6248	have captured the chaos of an urban conflagration with such fury
117095	6248	captured the chaos of an urban conflagration with such fury
117096	6248	captured the chaos of an urban conflagration
117097	6248	the chaos of an urban conflagration
117098	6248	of an urban conflagration
117099	6248	an urban conflagration
117100	6248	urban conflagration
117101	6248	conflagration
117102	6248	with such fury
117103	6248	such fury
117104	6248	audience members will leave feeling as shaken as Nesbitt 's Cooper looks when the bullets stop flying
117105	6248	audience members
117106	6248	will leave feeling as shaken as Nesbitt 's Cooper looks when the bullets stop flying
117107	6248	leave feeling as shaken as Nesbitt 's Cooper looks when the bullets stop flying
117108	6248	feeling as shaken as Nesbitt 's Cooper looks when the bullets stop flying
117109	6248	as shaken as Nesbitt 's Cooper looks when the bullets stop flying
117110	6248	shaken as Nesbitt 's Cooper looks when the bullets stop flying
117111	6248	shaken as Nesbitt 's Cooper
117112	6248	as Nesbitt 's Cooper
117113	6248	Nesbitt 's Cooper
117114	6248	Nesbitt 's
117115	6248	Nesbitt
117116	6248	looks when the bullets stop flying
117117	6248	when the bullets stop flying
117118	6248	the bullets stop flying
117119	6248	the bullets
117120	6248	stop flying
117121	6248	flying
117122	6249	Those with a modicum of patience will find in these characters ' foibles a timeless and unique perspective .
117123	6249	Those with a modicum of patience
117124	6249	with a modicum of patience
117125	6249	a modicum of patience
117126	6249	a modicum
117127	6249	modicum
117128	6249	of patience
117129	6249	will find in these characters ' foibles a timeless and unique perspective .
117130	6249	will find in these characters ' foibles a timeless and unique perspective
117131	6249	find in these characters ' foibles a timeless and unique perspective
117132	6249	in these characters ' foibles a timeless and unique perspective
117133	6249	these characters ' foibles a timeless and unique perspective
117134	6249	these characters ' foibles
117135	6249	these characters '
117136	6249	a timeless and unique perspective
117137	6249	timeless and unique perspective
117138	6249	timeless and unique
117139	6249	timeless and
117140	6250	An unflinching , complex portrait of a modern Israel that is rarely seen on-screen .
117141	6250	An unflinching , complex portrait of a modern Israel that is rarely seen on-screen
117142	6250	An unflinching ,
117143	6250	complex portrait of a modern Israel that is rarely seen on-screen
117144	6250	complex portrait of a modern Israel
117145	6250	complex portrait
117146	6250	of a modern Israel
117147	6250	a modern Israel
117148	6250	modern Israel
117149	6250	that is rarely seen on-screen
117150	6250	is rarely seen on-screen
117151	6250	is rarely
117152	6250	seen on-screen
117153	6251	Efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .
117154	6251	Efteriades
117155	6251	gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .
117156	6251	gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug
117157	6251	gives the neighborhood --
117158	6251	gives the neighborhood
117159	6251	the neighborhood
117160	6251	scenery , vibe and all -- the cinematic equivalent of a big , tender hug
117161	6251	scenery , vibe and all --
117162	6251	scenery , vibe and all
117163	6251	scenery , vibe and
117164	6251	scenery , vibe
117165	6251	scenery ,
117166	6251	vibe
117167	6251	the cinematic equivalent of a big , tender hug
117168	6251	of a big , tender hug
117169	6251	a big , tender hug
117170	6251	big , tender hug
117171	6251	, tender hug
117172	6251	tender hug
117173	6251	hug
117174	6252	Though it pretends to expose the life of male hustlers , it 's exploitive without being insightful .
